id,drug_id,sentence_index,ADRs,UMLS1,SNOMED-CT,UMLS2,SNOMED-CT,mild,moderate,severe,persistent,not-persistent,body-site,rating,drug,class,type,entity_type
1,lexapro.1,1,extreme weight gain,C0000765 / Excessive body weight gain / Finding,Excessive weight gain (finding) [A3440982/SNOMEDCT_US/FN/224994002],,,,,extreme,,,,1,lexapro,ssri,ADR,physiological
2,lexapro.1,1,short-term memory loss,C0701811 / Poor short-term memory / Mental or Behavioral Dysfunction,Poor short-term memory (finding) [A3638450/SNOMEDCT_US/FN/247592009],,,,,,,,,1,lexapro,ssri,ADR,cognitive
3,lexapro.1,1,hair loss,C0002170 / Alopecia / Disease or Syndrome,Loss of hair (finding) [A3543141/SNOMEDCT_US/FN/278040002],,,,,,,,,1,lexapro,ssri,ADR,physiological
4,lexapro.2,1,completely destroyed sexually functioning,C0549622 / Sexual Dysfunction / Disease or Syndrome,Sexual disorder (disorder) [A3703504/SNOMEDCT_US/FN/231532002],,,,,,completely,,,1,lexapro,ssri,ADR,physiological
5,lexapro.2,4,completely destroyed my sexual functioning,C0549622 / Sexual Dysfunction / Disease or Syndrome,Sexual disorder (disorder) [A3703504/SNOMEDCT_US/FN/231532002],,,,,,completely,,,1,lexapro,ssri,ADR,physiological
6,lexapro.2,5,pssd,C0549622 / Sexual Dysfunction / Disease or Syndrome,Sexual disorder (disorder) [A3703504/SNOMEDCT_US/FN/231532002],,,,,,,,,1,lexapro,ssri,ADR,physiological
7,lexapro.2,5,post-ssri sexual dysfunction,C0549622 / Sexual Dysfunction / Disease or Syndrome,Sexual disorder (disorder) [A3703504/SNOMEDCT_US/FN/231532002],,,,,,,,,1,lexapro,ssri,ADR,physiological
8,lexapro.2,8,pssd,C0549622 / Sexual Dysfunction / Disease or Syndrome,Sexual disorder (disorder) [A3703504/SNOMEDCT_US/FN/231532002],,,,,,,,,1,lexapro,ssri,ADR,physiological
9,lexapro.3,1,nausea,C0027497 / Nausea / Sign or Symptom,Nausea (finding) [A11740391/SNOMEDCT_US/FN/422587007],,,,,,,,,1,lexapro,ssri,ADR,physiological
10,lexapro.3,1,blurred vision,C0344232 / Blurred vision / Sign or Symptom,Blurring of visual image (finding) [A3323047/SNOMEDCT_US/FN/111516008],,,,,,,,,1,lexapro,ssri,ADR,physiological
11,lexapro.3,1,3 to 5 hours sleep,C0037316 / Sleep Deprivation / Finding,Sleep deprivation (finding) [A3708874/SNOMEDCT_US/FN/130989002],,,,,,,,,1,lexapro,ssri,ADR,physiological
12,lexapro.3,1,suicidal thoughts,C0424000 / Feeling suicidal (finding) / Finding,Feeling suicidal (finding) [A3452848/SNOMEDCT_US/FN/225457007],,,,,,,,,1,lexapro,ssri,ADR,psychological
13,lexapro.3,5,unable to sleep,C0424565 / Cannot sleep at all / Finding,Cannot sleep at all (finding) [A3337463/SNOMEDCT_US/FN/248255005],,,,,,,,,1,lexapro,ssri,ADR,physiological
14,lexapro.3,5,blurred vision,C0344232 / Blurred vision / Sign or Symptom,Blurring of visual image (finding) [A3323047/SNOMEDCT_US/FN/111516008],,,,,,,,,1,lexapro,ssri,ADR,physiological
15,lexapro.3,5,felt sick to my stomach,C0027497 / Nausea / Sign or Symptom,Nausea (finding) [A11740391/SNOMEDCT_US/FN/422587007],,,,,,,,,1,lexapro,ssri,ADR,physiological
16,lexapro.3,6,unable to eat anything significant for the 3 days,C1971624 / Loss of appetite (finding) / Finding,Loss of appetite (finding) [A3543103/SNOMEDCT_US/FN/79890006],,,,,,the 3 days,,,1,lexapro,ssri,ADR,physiological
17,lexapro.3,7,crazy thoughts kept happening,C0558066 / Intrusive thoughts / Mental or Behavioral Dysfunction,Intrusive thoughts (finding) [A3522817/SNOMEDCT_US/FN/225445003],,,,,,,,,1,lexapro,ssri,ADR,cognitive
18,lexapro.3,9,not have been able to work ,C0557386/ Restricted work performance/ Finding ,Restricted work performance (finding) [A3669299/SNOMEDCT_US/FN/224398005],,,,,,,,,1,lexapro,ssri,ADR,social impact
19,lexapro.4,2,"first 10 days, looong panic attack",C0086769 / Panic Attacks / Mental or Behavioral Dysfunction,Panic attack (finding) [A3615846/SNOMEDCT_US/FN/225624000],,,,,looong,,first 10 days,,1,lexapro,ssri,ADR,psychological
20,lexapro.4,2,"first 10 days, anxiety",C0003467 / Anxiety / Finding,Anxiety (finding) [A3654171/SNOMEDCT_US/FN/48694002],,,,,,,first 10 days,,1,lexapro,ssri,ADR,psychological
21,lexapro.4,2,"first 10 days, nausea",C0027497 / Nausea / Sign or Symptom,Nausea (finding) [A11740391/SNOMEDCT_US/FN/422587007],,,,,,,,,1,lexapro,ssri,ADR,physiological
22,lexapro.4,3,lots of anxiety,C0231403/Severe anxiety (panic)/Finding,Severe anxiety (panic) (finding) [A3703155/SNOMEDCT_US/FN/80583007],,,,,lots of,,,,1,lexapro,ssri,ADR,psychological
23,lexapro.4,3,derealisation,C0233754 / Derealization / Mental or Behavioral Dysfunction,Derealization (finding) [A3389145/SNOMEDCT_US/FN/40806005],,,,,,,,,1,lexapro,ssri,ADR,cognitive
24,lexapro.4,3,nausea,C0027497 / Nausea / Sign or Symptom,Nausea (finding) [A11740391/SNOMEDCT_US/FN/422587007],,,,,,,,,1,lexapro,ssri,ADR,physiological
25,lexapro.4,3,couldn't sleep much,C0917801 / Sleeplessness / Sign or Symptom,Insomnia (disorder) [A3517153/SNOMEDCT_US/FN/193462001],,,,,,,,,1,lexapro,ssri,ADR,physiological
26,lexapro.4,3,horrible anxiety,C0231403/Severe anxiety (panic)/Finding,Severe anxiety (panic) (finding) [A3703155/SNOMEDCT_US/FN/80583007],,,,,horrible,,,,1,lexapro,ssri,ADR,psychological
27,lexapro.4,5,anxiety is worse,C0003467 / Anxiety / Finding,Anxiety (finding) [A3654171/SNOMEDCT_US/FN/48694002],,,,,worse,,,,1,lexapro,ssri,ADR,psychological
28,lexapro.4,5,more and more dizzy by the week,C0012833 / Dizziness / Sign or Symptom,Dizziness (finding) [A3887130/SNOMEDCT_US/FN/404640003],,,,,more and more ,,by the week,,1,lexapro,ssri,ADR,physiological
29,lexapro.4,6,"last three weeks, watch tv makes me feel nauseus",C0027497 / Nausea / Sign or Symptom,Nausea (finding) [A11740391/SNOMEDCT_US/FN/422587007],,,,,,,last three weeks,,1,lexapro,ssri,ADR,physiological
30,lexapro.4,6,"two weeks, dizziness",C0012833 / Dizziness / Sign or Symptom,Dizziness (finding) [A3887130/SNOMEDCT_US/FN/404640003],,,,,,,two weeks,,1,lexapro,ssri,ADR,physiological
31,lexapro.4,7,"last week or two, feeling nausea",C0027497 / Nausea / Sign or Symptom,Nausea (finding) [A11740391/SNOMEDCT_US/FN/422587007],,,,,,,last week or two,,1,lexapro,ssri,ADR,physiological
32,lexapro.4,7,"last week or two, dizziness",C0012833 / Dizziness / Sign or Symptom,Dizziness (finding) [A3887130/SNOMEDCT_US/FN/404640003],,,,,,,last week or two,,1,lexapro,ssri,ADR,physiological
33,lexapro.5,1,chronic cough,C0010201 / Chronic cough / Sign or Symptom,Chronic cough (finding) [A3352561/SNOMEDCT_US/FN/68154008],,,,,,,,,1,lexapro,ssri,ADR,physiological
34,lexapro.5,1,weight gain,C0043094 / Weight Gain / Finding,Weight gain (finding) [A23454849/SNOMEDCT_US/FN/8943002],,,,,,,,,1,lexapro,ssri,ADR,physiological
35,lexapro.5,1,no sexual interest,C2981158 / Lack of libido / Finding,Lack of libido (finding) [A3531164/SNOMEDCT_US/FN/248096004],,,,,,,,,1,lexapro,ssri,ADR,physiological
