within	O
7	O
days	O
i	O
had	O
such	O
severe	B
myopathy	I
(	O
muscle	B
pain	I
)	O
and	O
cramping	B
i	O
could	B
not	I
walk	I
,	O
my	O
cpk	B
was	I
elevated	I
to	O
that	O
of	O
a	O
person	O
having	O
a	O
heart	O
attack	O
and	O
my	O
liver	B
enzymes	I
were	I
very	I
elevated	I
.	O

i	O
was	O
on	O
10	O
mg	O
and	O
in	O
.	O

lower	B
back	I
pain	I
,	O
stiff	B
neck	I
-	O
could	O
not	O
turn	O
head	O
.	O

dr	O
prescribed	O
lipitor	O
.	O

i	O
took	O
20mg	O
for	O
3	O
months	O
.	O

had	O
lower	B
back	I
pain	I
so	O
severe	O
could	O
hardly	O
get	O
out	O
of	O
bed	O
.	O

ater	O
getting	O
up	O
and	O
moving	O
around	O
,	O
pain	B
would	O
subside	O
.	O

also	O
started	O
to	O
have	O
neck	B
pain	I
while	O
turning	O
head	O
.	O

dr	O
took	O
a	O
muscle	B
injury	I
test	O
and	O
results	O
came	O
back	O
positive	O
!	O

stopped	O
taking	O
lipitor	O
.	O

after	O
a	O
few	O
months	O
,	O
new	O
muscle	B
injury	I
test	O
came	O
back	O
negative	O
.	O

neck	B
pain	I
went	O
away	O
within	O
a	O
few	O
weeks	O
.	O

after	O
1	O
year	O
being	O
off	O
lipitor	O
i	O
still	O
have	O
the	O
lower	B
back	I
pain	I
that	O
forces	O
me	O
to	O
wake	O
up	O
and	O
get	O
out	O
of	O
bed	O
after	O
exactly	O
7	O
.	O

5	O
hours	O
of	O
sleep	O
!	O

once	O
i	O
get	O
up	O
and	O
move	O
around	O
,	O
the	O
pain	O
disappears	O
.	O

if	O
i	O
lay	O
down	O
and	O
take	O
a	O
nap	O
in	O
the	O
afternoon	O
,	O
i	O
don	O
'	O
t	O
have	O
any	O
back	B
pain	I
that	O
wakes	O
me	O
up	O
but	O
once	O
i	O
lay	O
down	O
to	O
sleep	O
at	O
night	O
,	O
7	O
.	O

5	O
hours	O
later	O
i	O
'	O
m	O
forced	O
awake	O
by	O
the	O
pain	B
.	O

i	O
think	O
it	O
has	O
something	O
to	O
do	O
with	O
the	O
spinal	O
disks	O
expanding	O
at	O
night	O
and	O
by	O
morning	O
something	O
that	O
was	O
damaged	O
in	O
that	O
area	O
by	O
lipitor	O
kicks	O
in	O
pain	B
.	O

lipitor	O
may	O
cause	O
permanent	O
damage	O
to	O
body	O
tissues	O
!	O

please	O
research	O
carefully	O
b4	O
taking	O
!	O

.	O

sleeping	B
all	I
day	I
and	I
night	I
-	O
exhaustion	B
.	O

10mg	O
started	O
two	O
weeks	O
ago	O
-	O
have	O
slept	O
soundly	O
30	O
of	O
the	O
last	O
48	O
hours	O
.	O

but	O
even	O
when	O
awake	O
,	O
feel	B
exhausted	I
.	O

can	O
'	O
t	O
continue	O
this	O
way	O
.	O

will	O
ask	O
physician	O
for	O
alternative	O
at	O
next	O
