id,drug_id,sentence_index,SSI,UMLS1,SNOMED-CT,UMLS2,SNOMED-CT,mild,moderate,severe,persistent,not-persistent,body-site,rating,drug,class,type,entity_type
1,lexapro.4,5,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,1,lexapro,ssri,SSI,psychological
2,lexapro.5,4,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,1,lexapro,ssri,SSI,psychological
3,lexapro.13,1,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,1,lexapro,ssri,SSI,psychological
4,lexapro.13,5,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,1,lexapro,ssri,SSI,psychological
5,lexapro.13,8,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,1,lexapro,ssri,SSI,psychological
6,lexapro.18,3,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,1,lexapro,ssri,SSI,psychological
7,lexapro.18,3,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,1,lexapro,ssri,SSI,psychological
8,lexapro.18,3,ocd,c0009595/obsessive-compulsive personality/mental or behavioral dysfunction,obsessive compulsive personality disorder (disorder) [a3591163/snomedct_us/fn/1376001],,,,,,,,,1,lexapro,ssri,SSI,psychological
9,lexapro.21,11,panic attacks,c0086769/panic attacks/mental or behavioral dysfunction,panic attack (finding) [a3615846/snomedct_us/fn/225624000],,,,,,,,,1,lexapro,ssri,SSI,psychological
10,lexapro.21,11,depressed,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,1,lexapro,ssri,SSI,psychological
11,lexapro.22,1,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,1,lexapro,ssri,SSI,psychological
12,lexapro.24,5,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,1,lexapro,ssri,SSI,psychological
13,lexapro.24,5,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,1,lexapro,ssri,SSI,psychological
14,lexapro.25,1,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,1,lexapro,ssri,SSI,psychological
15,lexapro.26,11,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,1,lexapro,ssri,SSI,psychological
16,lexapro.28,9,depressed,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,1,lexapro,ssri,SSI,psychological
17,lexapro.31,7,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,1,lexapro,ssri,SSI,psychological
18,lexapro.31,7,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,1,lexapro,ssri,SSI,psychological
19,lexapro.32,1,social anxiety,C0424166 / Social fear / Mental or Behavioral Dysfunction,Social fear (finding) [A3709974/SNOMEDCT_US/FN/247832004],,,,,,,,,1,lexapro,ssri,SSI,psychological
20,lexapro.32,1,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,1,lexapro,ssri,SSI,psychological
21,lexapro.32,1,panic attacks,c0086769/panic attacks/mental or behavioral dysfunction,panic attack (finding) [a3615846/snomedct_us/fn/225624000],,,,,,,,,1,lexapro,ssri,SSI,psychological
22,lexapro.34,3,headaches,c0018681/headache/sign or symptom,headache (finding) [a3487586/snomedct_us/fn/25064002],,,,,,,,,1,lexapro,ssri,SSI,physiological
23,lexapro.34,3,suicidal thoughts,c0424000/feeling suicidal (finding)/finding,feeling suicidal (finding) [a3452848/snomedct_us/fn/225457007],,,,,,,,,1,lexapro,ssri,SSI,psychological
24,lexapro.34,3,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,1,lexapro,ssri,SSI,psychological
25,lexapro.35,1,social anxiety,C0424166 / Social fear / Mental or Behavioral Dysfunction,Social fear (finding) [A3709974/SNOMEDCT_US/FN/247832004],,,,,,,,,1,lexapro,ssri,SSI,psychological
26,lexapro.36,4,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,1,lexapro,ssri,SSI,psychological
27,lexapro.36,5,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,1,lexapro,ssri,SSI,psychological
28,lexapro.37,1,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,1,lexapro,ssri,SSI,psychological
29,lexapro.37,2,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,1,lexapro,ssri,SSI,psychological
30,lexapro.37,2,suicidal thoughts,c0424000/feeling suicidal (finding)/finding,feeling suicidal (finding) [a3452848/snomedct_us/fn/225457007],,,,,,,,,1,lexapro,ssri,SSI,psychological
31,lexapro.37,2,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,1,lexapro,ssri,SSI,psychological
32,lexapro.39,6,anxious,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,1,lexapro,ssri,SSI,psychological
33,lexapro.40,4,physical pain,c0030193/pain/sign or symptom,pain (finding) [a3614691/snomedct_us/fn/22253000],,,,,,,,,2,lexapro,ssri,SSI,physiological
34,lexapro.41,2,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,2,lexapro,ssri,SSI,psychological
35,lexapro.42,6,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,2,lexapro,ssri,SSI,psychological
36,lexapro.42,8,anxious,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,2,lexapro,ssri,SSI,psychological
37,lexapro.42,8,depressive symptoms.,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,2,lexapro,ssri,SSI,psychological
38,lexapro.43,1,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,2,lexapro,ssri,SSI,psychological
39,lexapro.43,2,hypothryroidism,C0020676/Hypothyroidism/Disease or Syndrome,Hypothyroidism (disorder) [A3502727/SNOMEDCT_US/FN/40930008],,,,,,,,,2,lexapro,ssri,SSI,physiological
40,lexapro.43,2,depresssion,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,2,lexapro,ssri,SSI,psychological
41,lexapro.44,3,depressed,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,2,lexapro,ssri,SSI,psychological
42,lexapro.45,4,depressed,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,2,lexapro,ssri,SSI,psychological
43,lexapro.46,3,sad,c3536794/sad mood/mental process,No code,C0344315 / Depressed mood / Finding,Depressed mood (finding) [A16962685/SNOMEDCT_US/FN/366979004],,,,,,,2,lexapro,ssri,SSI,psychological
44,lexapro.50,3,depressed,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,2,lexapro,ssri,SSI,psychological
45,lexapro.53,4,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,2,lexapro,ssri,SSI,psychological
46,lexapro.53,4,foul mood,c0554980/moody (finding)/finding,moody (finding) [a3567091/snomedct_us/fn/286641001],,,,,,,,,2,lexapro,ssri,SSI,psychological
47,lexapro.53,4,negative outlook on life,c0424134/pessimism/mental process,Pessimistic (finding) [A3627031/SNOMEDCT_US/FN/247799003],,,,,,,,,2,lexapro,ssri,SSI,psychological
48,lexapro.57,2,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,2,lexapro,ssri,SSI,psychological
49,lexapro.57,5,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,2,lexapro,ssri,SSI,psychological
50,lexapro.58,6,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,2,lexapro,ssri,SSI,psychological
51,lexapro.58,6,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,2,lexapro,ssri,SSI,psychological
52,lexapro.58,8,anxious,C0003467 / Anxiety / Finding,Anxiety (finding) [A3654171/SNOMEDCT_US/FN/48694002],,,,,,,,,2,lexapro,ssri,SSI,psychological
53,lexapro.58,8,depressed,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,2,lexapro,ssri,SSI,psychological
54,lexapro.61,1,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,2,lexapro,ssri,SSI,psychological
55,lexapro.61,1,panic attacks,c0086769/panic attacks/mental or behavioral dysfunction,panic attack (finding) [a3615846/snomedct_us/fn/225624000],,,,,,,,,2,lexapro,ssri,SSI,psychological
56,lexapro.62,4,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,2,lexapro,ssri,SSI,psychological
57,lexapro.62,12,anxiety attacks,c0700031/anxiety attack/mental or behavioral dysfunction,anxiety attack (finding) [a3654527/snomedct_us/fn/300895004],,,,,,,,,2,lexapro,ssri,SSI,psychological
58,lexapro.64,5,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,2,lexapro,ssri,SSI,psychological
59,lexapro.64,7,bipolar,c0005586/bipolar disorder/mental or behavioral dysfunction,bipolar disorder (disorder) [a3811838/snomedct_us/fn/13746004],,,,,,,,,2,lexapro,ssri,SSI,psychological
60,lexapro.64,7,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,2,lexapro,ssri,SSI,psychological
61,lexapro.64,8,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,2,lexapro,ssri,SSI,psychological
62,lexapro.67,1,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
63,lexapro.68,7,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
64,lexapro.69,5,anger,c0002957/anger/mental process,feeling angry (finding) [a3452793/snomedct_us/fn/75408008],,,,,,,,,3,lexapro,ssri,SSI,psychological
65,lexapro.69,6,anger,c0002957/anger/mental process,feeling angry (finding) [a3452793/snomedct_us/fn/75408008],,,,,,,,,3,lexapro,ssri,SSI,psychological
66,lexapro.70,3,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
67,lexapro.70,13,depressed,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
68,lexapro.71,1,depressed,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
69,lexapro.72,1,suicide,C0424000 / Feeling suicidal (finding) / Finding,Feeling suicidal (finding) [A3452848/SNOMEDCT_US/FN/225457007],,,,,,,,,3,lexapro,ssri,SSI,psychological
70,lexapro.75,3,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
71,lexapro.75,3,anxious,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
72,lexapro.77,3,moody ,C0085633 / Mood swings / Mental or Behavioral Dysfunction,Mood swings (finding) [A3567084/SNOMEDCT_US/FN/18963009],,,,,,,,,3,lexapro,ssri,SSI,psychological
73,lexapro.79,2,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
74,lexapro.79,2,obsessing,c0679048/obsessive thoughts/mental or behavioral dysfunction,no code,C0558066 / Intrusive thoughts / Mental or Behavioral Dysfunction,Intrusive thoughts (finding) [A3522817/SNOMEDCT_US/FN/225445003],,,,,,,3,lexapro,ssri,SSI,cognitive
75,lexapro.79,3,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
76,lexapro.80,2,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
77,lexapro.80,2,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
78,lexapro.80,3,social anxiety,C0424166 / Social fear / Mental or Behavioral Dysfunction,Social fear (finding) [A3709974/SNOMEDCT_US/FN/247832004],,,,,,,,,3,lexapro,ssri,SSI,psychological
79,lexapro.81,2,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
80,lexapro.84,2,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
81,lexapro.85,2,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
82,lexapro.85,3,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
83,lexapro.87,2,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
84,lexapro.87,2,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
85,lexapro.89,2,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
86,lexapro.89,4,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
87,lexapro.90,2,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
88,lexapro.90,2,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
89,lexapro.91,3,anxious,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
90,lexapro.91,3,chest is tight,c0232292/chest tightness/sign or symptom,tight chest (finding) [a3755507/snomedct_us/fn/23924001],,,,,,,,,3,lexapro,ssri,SSI,physiological
91,lexapro.91,3,heavy sighing,c0425481/sighing respiration/sign or symptom,Sighing respiration (finding) [A3705170/SNOMEDCT_US/FN/25423001],,,,,,,,,3,lexapro,ssri,SSI,physiological
92,lexapro.92,1,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
93,lexapro.92,2,depressed,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
94,lexapro.92,2,mood has lifted,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
95,lexapro.92,4,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
96,lexapro.92,6,depression,C0344315 / Depressed mood / Finding,Depressed mood (finding) [A16962685/SNOMEDCT_US/FN/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
97,lexapro.92,8,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
98,lexapro.93,3,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
99,lexapro.93,4,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
100,lexapro.95,1,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
101,lexapro.95,2,crying spells,c1822595/crying spells/finding,no code,"C0438697 / Crying, excessive / Finding","Crying, excessive (finding) [A3377058/SNOMEDCT_US/FN/162213003]",,,,,,,3,lexapro,ssri,SSI,psychological
102,lexapro.95,2,suicidal thoughts,c0424000/feeling suicidal (finding)/finding,feeling suicidal (finding) [a3452848/snomedct_us/fn/225457007],,,,,,,,,3,lexapro,ssri,SSI,psychological
103,lexapro.95,4,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
104,lexapro.95,4,stress,c0038435/stress/finding,Stress (finding) [A3721256/SNOMEDCT_US/FN/73595000],,,,,,,,,3,lexapro,ssri,SSI,psychological
105,lexapro.99,2,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
106,lexapro.99,2,restlessness.,C3887611 / Restlessness / Sign or Symptom,Restlessness (finding) [A3669199/SNOMEDCT_US/FN/162221009],,,,,,,,,3,lexapro,ssri,SSI,psychological
107,lexapro.99,15,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
108,lexapro.99,15,low moods,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
109,lexapro.101,1,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
110,lexapro.101,4,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
111,lexapro.102,2,obsessive endless thoughts,c0679048/obsessive thoughts/mental or behavioral dysfunction,no code,C0558066 / Intrusive thoughts / Mental or Behavioral Dysfunction,Intrusive thoughts (finding) [A3522817/SNOMEDCT_US/FN/225445003],,,,,,,3,lexapro,ssri,SSI,cognitive
112,lexapro.103,2,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
113,lexapro.103,5,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
114,lexapro.106,3,racing thoughts,c0554978/racing thoughts/mental or behavioral dysfunction,racing thoughts (finding) [a3656740/snomedct_us/fn/285303006],,,,,,,,,3,lexapro,ssri,SSI,cognitive
115,lexapro.106,5,feeling depressed,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
116,lexapro.107,2,mdd,c1269683/major depressive disorder/mental or behavioral dysfunction,Major depressive disorder (disorder) [A3548382/SNOMEDCT_US/FN/370143000],,,,,,,,,3,lexapro,ssri,SSI,psychological
117,lexapro.107,2,panic,c0030318/panic/finding,panic (finding) [a3615844/snomedct_us/fn/79823003],,,,,,,,,3,lexapro,ssri,SSI,psychological
118,lexapro.107,2,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
119,lexapro.107,3,fibromyalgia ,C0016053 / Fibromyalgia / Disease or Syndrome,Fibromyalgia (disorder) [A26590869/SNOMEDCT_US/FN/203082005],,,,,,,,,3,lexapro,ssri,SSI,physiological
120,lexapro.107,3,suicidal,c0438696/suicidal/finding,suicidal (finding) [a3738693/snomedct_us/fn/267073005],,,,,,,,,3,lexapro,ssri,SSI,psychological
121,lexapro.107,3,panic attack,c0086769/panic attacks/mental or behavioral dysfunction,panic attack (finding) [a3615846/snomedct_us/fn/225624000],,,,,,,,,3,lexapro,ssri,SSI,psychological
122,lexapro.107,4,exhaustion,c0392674/exhaustion/sign or symptom,exhaustion (finding) [a3443183/snomedct_us/fn/60119000],,,,,,,,,3,lexapro,ssri,SSI,physiological
123,lexapro.107,4, fms,c0016053/fibromyalgia/disease or syndrome,Fibromyalgia (disorder) [A26590869/SNOMEDCT_US/FN/203082005],,,,,,,,,3,lexapro,ssri,SSI,physiological
124,lexapro.107,4,pmdd,"C0520676 / Premenstrual Dysphoric Disorder / Mental or Behavioral Dysfunction 
",Premenstrual dysphoric disorder (disorder) [A3643248/SNOMEDCT_US/FN/596004],,,,,,,,,3,lexapro,ssri,SSI,physiological
125,lexapro.107,4,shingles," C0019360/ Herpes zoster disease / Disease or Syndrome 

",Herpes zoster (disorder) [A3492879/SNOMEDCT_US/FN/4740000],,,,,,,,,3,lexapro,ssri,SSI,physiological
126,lexapro.107,4,eds,"C0013720/Ehlers-Danlos Syndrome/Disease or Syndrome 
",Ehlers-Danlos syndrome (disorder) [A3410927/SNOMEDCT_US/FN/398114001],,,,,,,,,3,lexapro,ssri,SSI,physiological
127,lexapro.108,2,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
128,lexapro.108,2,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
129,lexapro.108,2,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,3,lexapro,ssri,SSI,psychological
130,lexapro.108,3,hard time getting up in the morning,c0023380/lethargy/sign or symptom,lethargy (finding) [a3536819/snomedct_us/fn/214264003],,,,,,,,,3,lexapro,ssri,SSI,physiological
131,lexapro.108,4,outlook is depressing,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,3,lexapro,ssri,SSI,psychological
132,lexapro.109,5,uncontrollable crying,c0010399/crying/individual behavior,crying (finding) [a3377052/snomedct_us/fn/304534000],,,,,,,,,4,lexapro,ssri,SSI,psychological
133,lexapro.109,5,incesant thoughts about death,c3845525/recurrent thoughts of death/finding,no code,C0239163 / Preoccupation with death / Finding,Preoccupation with death (finding) [A3643305/SNOMEDCT_US/FN/276303005],,,,,,,4,lexapro,ssri,SSI,psychological
134,lexapro.109,5,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,4,lexapro,ssri,SSI,psychological
135,lexapro.109,7,depressed,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,4,lexapro,ssri,SSI,psychological
136,lexapro.110,1,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,4,lexapro,ssri,SSI,psychological
137,lexapro.110,3,depressed,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,4,lexapro,ssri,SSI,psychological
138,lexapro.111,3,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,4,lexapro,ssri,SSI,psychological
139,lexapro.111,3,feelings got hurt easily,c0312418/personality sensitivity/mental process,sensitivity (finding) [a3699949/snomedct_us/fn/35209006],,,,,,,,,4,lexapro,ssri,SSI,psychological
140,lexapro.111,3,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,4,lexapro,ssri,SSI,psychological
141,lexapro.111,3,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,4,lexapro,ssri,SSI,psychological
142,lexapro.111,3,lot of crying,"c0438697/crying, excessive/finding","crying, excessive (finding) [a3377058/snomedct_us/fn/162213003]",,,,,lot of,,,,4,lexapro,ssri,SSI,psychological
143,lexapro.111,3,negative thinking,c1821301/pessimistic thoughts/finding,no code,C0233488 / Feeling despair / Sign or Symptom,Feeling despair (finding) [A3452801/SNOMEDCT_US/FN/17029006],,,,,,,4,lexapro,ssri,SSI,psychological
144,lexapro.114,9,compulsiveness,c0009595/obsessive-compulsive personality/mental or behavioral dysfunction,obsessive compulsive personality disorder (disorder) [a3591163/snomedct_us/fn/1376001],,,,,,,,,4,lexapro,ssri,SSI,psychological
